symbol,mean_return,volatility,max_drawdown,avg_volume,rsi,price_range,kmeans_cluster,hier_cluster
BTC-USD,1.8670588743577716e-05,0.021946386203848547,-0.32146980484614385,52966583124.907104,50.87672710416409,3285.8166837431695,2,3
ETH-USD,0.00036597854426578846,0.039375868724197016,-0.6007838805465939,28414689464.210384,50.03901977694963,169.90015282135843,1,1
BNB-USD,0.0008386602548789994,0.02729856720116838,-0.3684961609111699,2447885822.4781423,52.267768562562466,31.22666972843024,1,1
SOL-USD,-0.00022147075718486063,0.045136967791691116,-0.5970814063900632,5565765248.491803,48.66756644319273,10.883509338879195,0,1
ADA-USD,-0.0008811618214889864,0.05860410944100719,-0.6976395315609707,1166762222.8469946,45.71578829738478,0.04977163265311653,0,2
XRP-USD,0.0005120389565389988,0.04403217503384491,-0.4915926414978071,5613405924.5245905,48.84162861178815,0.14591374977038857,1,1
DOGE-USD,-0.0014398822136131486,0.0487626972933859,-0.7066565008647878,2233671344.6885247,46.160951884337244,0.015104417368525365,0,2
AVAX-USD,-0.0018024412781681481,0.04815193009809411,-0.740689192692688,542979826.4344262,46.49943078901949,1.610205454904525,0,2
MATIC-USD,-0.008410380633477309,0.044125647586657504,-0.6058650576084853,6895789.0,35.37600099973109,0.023285921962781883,0,2
DOT-USD,-0.002654791969261868,0.04424628524944898,-0.7833822346649972,265842346.69398907,45.20024637524332,0.2649488273214121,0,2
LINK-USD,-0.0004125843083361043,0.047724732914696845,-0.5898202186333968,731055880.2486339,48.01851508475943,1.2161113864085713,0,1
LTC-USD,0.00019071733277060079,0.04111272843398225,-0.495633893055219,725653188.0245901,49.28690491296107,6.108911691467618,1,1
BCH-USD,0.0016204561221695474,0.03895640813797319,-0.4507752738193258,406235762.43442625,50.99199603606307,25.017607642001792,1,1
ATOM-USD,-0.0022246189473526944,0.04256661553584579,-0.7515465762813678,127367448.2431694,44.75067321994339,0.25705802798922595,0,2
NEAR-USD,-0.0019574264783289892,0.05247556165502065,-0.7629135758305038,237668828.75409836,46.10127067399832,0.21389091373141347,0,2
APT-USD,-0.0017735284217410166,0.04136060043601999,-0.4125560713691194,71.97206703910615,33.92856225515935,2.5698329470323284e-06,0,2
OP-USD,-0.003689950759872925,0.05570008428729789,-0.8805228114082995,186498391.22404373,44.48314046642585,0.06203459610378807,0,2
ARB-USD,0.0022778255053599933,0.07198340273262886,-0.4814070692764758,0.5382513661202186,51.364786670578454,7.838798499834098e-06,0,1
TRX-USD,0.00047913449577372533,0.020550598693604104,-0.25994296635004843,793242775.9180328,51.780396735203674,0.00788927815162419,1,1
